team,id,x3fg,x3fga,apg,ast,bkpg,blks,fg_percent,fga,fgm,ft,fta,ft_percent,gm,l,w_l,pct,rank,reb,rpg,st,to,w,TeamNameSpelling,TeamID,ConfAbbrev
virginiatech,se_data/se_2021,173,485,14.4,302,4,83,45.1,1183,534,274,393,69.7,21,6,15-6,71.4,194,738,35.1,100,244,15,virginia tech,1439,acc
iona,se_data/se_2021,123,342,14.2,228,3.9,63,44.5,901,401,243,327,74.3,16,5,11-5,68.8,307,601,37.6,111,253,11,iona,1233,maac
uncgreensboro,se_data/se_2021,221,736,12.3,356,3.9,114,42.4,1894,803,308,451,68.3,29,8,21-8,72.4,12,1142,39.4,217,319,21,unc greensboro,1422,southern
georgetown,se_data/se_2021,198,542,12.9,309,3.9,94,42.3,1405,594,325,425,76.5,24,12,12-12,50,121,956,39.8,141,371,12,georgetown,1207,big_east
stbonaventure,se_data/se_2021,123,351,14.9,284,3.9,74,45.1,1099,496,221,303,72.9,19,4,15-4,78.9,304,703,37,117,211,15,st bonaventure,1382,a_ten
texas,se_data/se_2021,218,614,13.2,331,3.9,97,45.2,1450,656,335,477,70.2,25,7,18-7,72,54,966,38.6,162,354,18,texas,1400,big_twelve
wisconsin,se_data/se_2021,248,690,13.3,386,3.8,110,42.1,1690,711,349,455,76.7,29,12,17-12,58.6,24,973,33.6,170,259,17,wisconsin,1458,big_ten
baylor,se_data/se_2021,248,593,17,409,3.8,90,49.3,1513,746,285,409,69.7,24,2,22-2,91.7,67,875,36.5,215,298,22,baylor,1124,big_twelve
colgate,se_data/se_2021,122,317,17.6,247,3.7,52,49.7,888,441,206,280,73.6,14,1,13-1,92.9,319,567,40.5,99,143,13,colgate,1159,patriot
oregon,se_data/se_2021,218,575,13.4,349,3.6,94,47.2,1515,715,286,406,70.4,26,6,20-6,76.9,82,860,33.1,194,297,20,oregon,1332,pac_twelve
creighton,se_data/se_2021,263,708,16,432,3.6,97,48.3,1616,780,284,438,64.8,27,7,20-7,74.1,18,978,36.2,192,301,20,creighton,1166,big_east
missouri,se_data/se_2021,173,540,13.2,330,3.5,88,44.9,1439,646,376,539,69.8,25,9,16-9,64,123,892,35.7,168,336,16,missouri,1281,sec
oklahoma,se_data/se_2021,200,591,13.4,336,3.4,86,44.2,1517,670,329,442,74.4,25,10,15-10,60,69,907,36.3,184,277,15,oklahoma,1328,big_twelve
purdue,se_data/se_2021,192,573,14.3,386,3.4,92,45.1,1527,689,350,492,71.1,27,9,18-9,66.7,87,1015,37.6,140,339,18,purdue,1345,big_ten
oregonst,se_data/se_2021,194,553,14.7,412,3.4,95,43.3,1586,687,411,541,76,28,12,16-12,57.1,114,951,34,173,321,16,oregon st,1333,pac_twelve
maryland,se_data/se_2021,234,663,13.3,385,3.4,98,45.6,1533,699,363,517,70.2,29,13,16-13,55.2,28,965,33.3,145,324,16,maryland,1268,big_ten
georgiatech,se_data/se_2021,184,518,16.2,389,3.4,81,47.6,1404,668,288,397,72.5,24,8,16-8,66.7,147,746,31.1,215,271,16,georgia tech,1210,acc
ohiost,se_data/se_2021,227,630,13.1,367,3.3,92,46.1,1597,737,463,602,76.9,28,8,20-8,71.4,44,1012,36.1,131,296,20,ohio st,1326,big_ten
norfolkst,se_data/se_2021,173,466,12,265,3.3,72,43.6,1298,566,354,504,70.2,22,7,15-7,68.2,220,816,37.1,137,286,15,norfolk st,1313,meac
abilenechristian,se_data/se_2021,203,584,18.2,472,3.1,81,46,1564,720,374,560,66.8,26,4,22-4,84.6,72,927,35.7,256,358,22,abilene christian,1101,southland
grandcanyon,se_data/se_2021,148,449,16.4,360,3.1,68,49.2,1259,620,276,405,68.1,22,6,16-6,72.7,234,882,40.1,108,292,16,grand canyon,1213,wac
drake,se_data/se_2021,204,552,13.8,399,3,86,49.4,1757,868,305,428,71.3,29,4,25-4,86.2,115,1043,36,207,299,25,drake,1179,mvc
colorado,se_data/se_2021,213,570,13.5,377,2.9,82,45.8,1602,733,397,478,83.1,28,7,22-7,75.9,93,980,35,152,301,22,colorado,1160,pac_twelve
northtexas,se_data/se_2021,189,502,13.4,335,2.9,73,47.9,1349,646,273,374,73,25,9,16-9,64,169,829,33.2,172,326,16,north texas,1317,cusa
ucsantabarbara,se_data/se_2021,168,480,16.4,411,2.9,72,48.5,1419,688,366,486,75.3,25,4,21-4,84,201,881,35.2,189,278,21,uc santa barbara,1364,big_west
clemson,se_data/se_2021,192,555,13.3,305,2.9,66,42.8,1264,541,228,298,76.5,23,7,16-7,69.6,111,751,32.7,140,292,16,clemson,1155,acc
westvirginia,se_data/se_2021,196,549,13.8,373,2.9,77,42.8,1660,711,469,654,71.7,27,9,18-9,66.7,116,1033,38.3,202,328,18,west virginia,1452,big_twelve
byu,se_data/se_2021,233,616,16.6,431,2.8,74,48.2,1557,751,312,427,73.1,26,6,20-6,76.9,52,1024,39.4,123,346,20,byu,1140,wcc
gonzaga,se_data/se_2021,190,520,18.3,476,2.8,74,55.1,1612,888,429,590,72.7,26,0,26-0,100,144,986,37.9,216,315,26,gonzaga,1211,wcc
easternwash,se_data/se_2021,190,530,15.4,338,2.8,62,46.9,1315,617,306,389,78.7,22,7,15-7,68.2,130,785,35.7,109,251,15,eastern wash.,1186,big_sky
sandiegost,se_data/se_2021,227,596,14.2,369,2.8,72,45.5,1471,669,367,510,72,26,4,22-4,84.6,66,939,36.1,213,296,22,san diego st,1361,mwc
illinois,se_data/se_2021,185,488,16.1,436,2.7,74,50.1,1577,790,423,617,68.6,27,6,21-6,77.8,189,1088,40.3,154,363,21,illinois,1228,big_ten
lsu,se_data/se_2021,201,582,12.6,314,2.7,68,46.8,1552,726,407,547,74.4,25,8,17-8,68,74,952,38.1,202,298,17,lsu,1261,sec
ucla,se_data/se_2021,173,471,13.6,354,2.7,69,46.2,1485,686,349,484,72.1,26,9,17-9,65.4,215,918,35.3,132,292,17,ucla,1417,pac_twelve
clevelandst,se_data/se_2021,166,520,14,363,2.5,65,45.2,1514,684,324,484,66.9,26,7,19-7,73.1,144,910,35,182,336,19,cleveland st,1156,horizon
loyolachicago,se_data/se_2021,201,546,15.8,442,2.4,67,50.5,1456,735,331,458,72.3,28,4,24-4,85.7,117,914,32.6,194,334,24,loyola chicago,1260,mvc
winthrop,se_data/se_2021,203,575,15,361,2.4,57,46.1,1463,674,358,522,68.6,24,1,23-1,95.8,82,966,40.2,186,340,23,winthrop,1457,big_south
drexel,se_data/se_2021,138,371,15.2,288,2.4,45,47.7,1038,495,230,296,77.7,19,7,12-7,63.2,292,645,33.9,89,244,12,drexel,1180,caa
liberty,se_data/se_2021,289,740,15.9,446,2.3,64,49.1,1549,761,286,368,77.7,28,5,23-5,82.1,11,935,33.4,128,271,23,liberty,1251,a_sun
ohio,se_data/se_2021,187,525,18,395,2.1,47,48.8,1345,657,275,395,69.6,22,7,15-7,68.2,139,765,34.8,147,265,15,ohio,1325,mac
hartford,se_data/se_2021,171,515,11.2,246,2,43,43.7,1196,523,234,333,70.3,22,8,14-8,63.6,151,727,33,152,282,14,hartford,1216,aec
villanova,se_data/se_2021,203,576,15.3,336,1.5,32,45,1291,581,297,388,76.5,22,6,16-6,72.7,80,755,34.3,117,199,16,villanova,1437,big_east
